city,period,month,year,product,price,share,weight,calories,sugar,protein,distance,diesel
1,1,1,1,1,0.794383218341068,0.165773561856681,170,150,13,6,1.01793069524169,4.28673987125439
1,1,1,1,2,1.14374259327989,0.163654100818222,150,80,0,14,1.22591874471893,4.28673987125439
1,1,1,1,3,1.14104059679722,0.128190517623345,150,100,0,15,1.8198837903945,4.28673987125439
1,1,1,1,4,0.903746699427589,0.10864867621839,170,150,11,5,1.75208807934926,4.28673987125439
1,1,1,1,5,0.491900927514823,0.137930410465782,113,90,8,4,1.05069596298691,4.28673987125439
1,2,2,1,1,0.773508474396356,0.181726322936902,170,150,13,6,1.04962577672492,3.26719991084216
1,2,2,1,2,1.40798591558555,0.172570609413248,150,80,0,14,1.29066264033455,3.26719991084216
1,2,2,1,4,0.835015496213165,0.120096406034026,170,150,11,5,1.51281683449632,3.26719991084216
1,2,2,1,5,0.451379063507251,0.109199141747522,113,90,8,4,0.882258661772292,3.26719991084216
1,3,3,1,1,0.949738276192653,0.188480453475449,170,150,13,6,1.42536596966362,4.12845843276072
1,3,3,1,2,1.13152207818847,0.166545568797388,150,80,0,14,1.1564827540446,4.12845843276072
1,3,3,1,3,1.2028332614336,0.115075739654999,150,100,0,15,2.06859714798045,4.12845843276072
1,3,3,1,4,0.982776435345806,0.129602991055674,170,150,11,5,2.00974769618878,4.12845843276072
1,4,4,1,1,0.959757985310217,0.200302182963196,170,150,13,6,1.9870171214693,3.84044148243161
1,4,4,1,3,1.39326164033012,0.145188770757584,150,100,0,15,1.73188244048214,3.84044148243161
1,4,4,1,4,0.92905183775488,0.137892860210033,170,150,11,5,1.86640325623074,3.84044148243161
1,5,5,1,1,0.878759419223964,0.195983524553146,170,150,13,6,1.43147297530753,2.88178708899634
1,5,5,1,2,1.25849050545106,0.114037275807885,150,80,0,14,3.20322543501538,2.88178708899634
1,5,5,1,3,1.09586064237379,0.152924319729881,150,100,0,15,1.34661207134159,2.88178708899634
1,5,5,1,4,0.878452572364604,0.172839439599111,170,150,11,5,1.53405530049571,2.88178708899634
1,6,6,1,1,0.77696581498168,0.181619020250871,170,150,13,6,0.931163155509167,3.10272824890329
1,6,6,1,2,1.08134803817513,0.174217571544449,150,80,0,14,1.47985247046556,3.10272824890329
1,6,6,1,3,1.0901720767792,0.156241182244844,150,100,0,15,1.47963889991377,3.10272824890329
1,6,6,1,4,0.817647554722307,0.129279281572777,170,150,11,5,1.26745424751628,3.10272824890329
1,6,6,1,5,0.475994932979186,0.143969468644027,113,90,8,4,0.936589238976419,3.10272824890329
1,7,7,1,1,0.887524817642542,0.172180492265635,170,150,13,6,1.40233098591523,4.08873371265362
1,7,7,1,3,1.37312190680489,0.141773103282543,150,100,0,15,1.20794884165882,4.08873371265362
1,7,7,1,4,0.928586978038071,0.139707334589466,170,150,11,5,1.69967082664012,4.08873371265362
1,8,8,1,1,0.832850724680135,0.153359185040904,170,150,13,6,1.90147624367392,3.79113507552382
1,8,8,1,2,1.48132178068388,0.181564120606278,150,80,0,14,1.19711041220286,3.79113507552382
1,8,8,1,4,0.886378511262397,0.160896078015693,170,150,11,5,1.70051894665697,3.79113507552382
1,8,8,1,5,0.496793143147148,0.143250818077488,113,90,8,4,0.948178993408142,3.79113507552382
1,9,9,1,1,1.1283094243676,0.208847472409336,170,150,13,6,1.97303920802557,4.10918018234287
1,9,9,1,2,1.5700888574553,0.130020912728984,150,80,0,14,2.81744544321805,4.10918018234287
1,10,10,1,1,0.804313859831101,0.16771086881662,170,150,13,6,2.01789647604968,3.88561728319433
1,10,10,1,2,1.14501163310775,0.160479002565241,150,80,0,14,1.4594423679455,3.88561728319433
1,10,10,1,3,1.03732852966281,0.15450340753799,150,100,0,15,1.22218778785617,3.88561728319433
1,10,10,1,4,0.929268667030289,0.0887323648804537,170,150,11,5,2.41269365533128,3.88561728319433
1,10,10,1,5,0.516714490729934,0.156271847577151,113,90,8,4,1.55930402124142,3.88561728319433
